Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
500002,ABB India Limited,ABB,ABB India Ltd,Active,A ,2.00,INE117A01022,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500003,Aegis Logistics Ltd.,AEGISLOG,Aegis Logistics Ltd,Active,A ,1.00,INE208C01025,Trading - Gas,Equity,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
500008,Amara Raja Energy & Mobility Limited,ARE&M,Amara Raja Energy & Mobility Ltd,Active,A ,1.00,INE885A01032,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500010,Housing Development Finance Corp.Lt,HDFC,Housing Development Finance Corporation Ltd,Delisted,A ,2.00,INE001A01036,Housing Finance Company,Equity,Financial Services,Financial Services,Finance,Housing Finance Company
500020,Bombay Dyeing & Mfg. Co. Ltd.,BOMDYEING,Bombay Dyeing & Manufacturing Company Ltd,Active,A ,2.00,INE032A01023,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
500027,Atul Limited.,ATUL,Atul Ltd,Active,A ,10.00,INE100A01010,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500031,Bajaj Electricals Ltd.,BAJAJELEC,Bajaj Electricals Ltd,Active,A ,2.00,INE193E01025,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Ltd,Active,A ,1.00,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500033,Force Motors Limited,FORCEMOT,Force Motors Ltd,Active,A ,10.00,INE451A01017,Passenger Cars & Utility Vehicles,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
500034,Bajaj Finance Limited,BAJFINANCE,Bajaj Finance Ltd,Active,A ,2.00,INE296A01024,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
500038,Balrampur Chini Mills Ltd.,BALRAMCHIN,Balrampur Chini Mills Ltd,Active,A ,1.00,INE119A01028,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
500040,ADITYA BIRLA REAL ESTATE LIMITED,ABREL,Aditya Birla Real Estate Ltd,Active,A ,10.00,INE055A01016,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
500042,BASF India Ltd,BASF,BASF India Ltd,Active,A ,10.00,INE373A01013,Specialty Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
500043,Bata India Limited,BATAINDIA,Bata India Ltd,Active,A ,5.00,INE176A01028,Footwear,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Footwear
500048,BEML Ltd,BEML,BEML Ltd,Active,A ,10.00,INE258A01016,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
500049,Bharat Electronics Ltd.,BEL,Bharat Electronics Ltd,Active,A ,1.00,INE263A01024,Aerospace & Defense,Equity,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
500067,Blue Star Ltd,BLUESTARCO,Blue Star Ltd,Active,A ,2.00,INE472A01039,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
500084,CESC Limited,CESC,CESC Ltd,Active,A ,1.00,INE486A01021,Integrated Power Utilities,Equity,Utilities,Power,Power,Integrated Power Utilities
500085,Chambal Fertilisers & Chemicals Ltd,CHAMBLFERT,Chambal Fertilisers & Chemicals Ltd,Active,A ,10.00,INE085A01013,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers
500086,Exide Industries Ltd.,EXIDEIND,Exide Industries Ltd,Active,A ,1.00,INE302A01020,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
500087,Cipla Ltd.,CIPLA,Cipla Ltd,Active,A ,2.00,INE059A01026,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
500092,CRISIL Ltd.,CRISIL,CRISIL Ltd,Active,A ,1.00,INE007A01025,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services
500093,CG Power and Industrial Solutions Limited,CGPOWER,CG Power and Industrial Solutions Ltd,Active,A ,2.00,INE067A01029,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
500096,Dabur India Ltd.,DABUR,Dabur India Ltd,Active,A ,1.00,INE016A01026,Personal Care,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
500101,Arvind Ltd.,ARVIND,Arvind Ltd,Active,A ,10.00,INE034A01011,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
500103,Bharat Heavy Electricals Ltd.,BHEL,Bharat Heavy Electricals Ltd,Active,A ,2.00,INE257A01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
