Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,6.92,N,72.94,N,-12.82,Y,7.04,Y,12.37,Y,594.81,N,C
500219,Jain Irrigation Systems Ltd.,JISLJALEQS,JAIN IRRIGATION SYSTEMS LTD.,Active,A ,2.0,INE175A01038,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,8.22,N,27.51,N,-23.13,Y,-4.5,Y,-9.65,Y,768.87,N,C
500227,Jindal Poly Films Ltd.,JINDALPOLY,JINDAL POLY FILMS LTD.,Active,B ,10.0,INE197D01010,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging,10.26,N,25.09,N,-5.64,Y,31.84,N,18.09,Y,184.3,N,C
500304,NIIT Ltd.,NIITLTD,NIIT LTD.,Active,B ,2.0,INE161A01038,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education,14.89,N,42.86,N,23.71,Y,46.76,N,34.33,Y,47.17,N,C
500333,Pix Transmissions Ltd.,PIXTRANS,PIX TRANSMISSIONS LTD.,Active,B ,10.0,INE751B01018,Rubber,Equity,Industrials,Capital Goods,Industrial Products,Rubber,12.38,N,77.06,N,-10.08,Y,5.32,Y,13.74,Y,,N,C
500343,AMJ LAND HOLDINGS LIMITED,AMJLAND,AMJ Land Holdings Ltd,Active,T ,2.0,INE606A01024,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",20.46,N,33.75,N,-9.26,Y,23.24,Y,23.09,Y,141.29,N,C
503310,Swan Energy Ltd.,SWANENERGY,SWAN ENERGY LTD.,Active,A ,1.0,INE665A01038,Diversified,Equity,Diversified,Diversified,Diversified,Diversified,14.35,N,32.55,N,-34.6,Y,-21.56,Y,10.33,Y,276.48,N,C
503811,Siyaram Silk Mills Ltd.,SIYSIL,SIYARAM SILK MILLS LTD.-$,Active,B ,2.0,INE076B01028,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,13.21,N,45.95,N,3.52,Y,13.64,Y,1.58,Y,139.8,N,C
504286,DELTA MANUFACTURING LIMITED ,DELTAMAGNT,Delta Manufacturing Ltd,Active,B ,10.0,INE393A01011,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,21.82,N,23.98,N,-1.67,Y,-12.8,Y,7.83,Y,196.39,N,C
505355,Nesco Ltd,NESCO,NESCO LTD.,Active,A ,2.0,INE317F01035,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,4.85,N,17.73,N,-0.98,Y,7.02,Y,9.54,Y,22.44,N,C
