Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
500356,Shree Rama Newsprint Limited,RAMANEWS,SHREE RAMA NEWSPRINT LTD.,Active,B ,10.0,INE278B01020,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,15.92,N,31.48,N,-11.44,Y,-15.89,Y,-23.1,Y,40.08,N,C,,2025-02-15
506074,Arshiya Limited,ARSHIYA,Arshiya Limited,Active,Z ,2.0,INE968D01022,Logistics Solution Provider,Equity,Services,Services,Transport Services,Logistics Solution Provider,0.0,N,15.05,N,-17.15,Y,-33.62,Y,-63.49,Y,-70.79,Y,C,9,2025-02-15
512553,Zenith Exports Ltd.,ZENITHEXPO,ZENITH EXPORTS LTD.,Active,B ,10.0,INE058B01018,Leather And Leather Products,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,26.14,N,33.28,N,-28.89,Y,-25.98,Y,26.22,Y,516.25,N,C,,2025-02-15
526668,Kamat Hotels (India) ltd.,KAMATHOTEL,KAMAT HOTELS (INDIA) LTD.,Active,B ,10.0,INE967C01018,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,-6.47,N,27.94,N,8.11,Y,2.18,Y,-30.48,Y,1005.99,N,C,,2025-02-15
531553,DISHA RESOURCES LIMITED,DRL,Disha Resources Ltd,Active,XT,10.0,INE193D01019,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,0.0,N,46.1,N,-1.67,Y,-38.54,Y,-26.07,Y,103.45,N,C,,2025-02-15
532440,MPS Limited,MPSLTD,MPS LTD.,Active,B ,10.0,INE943D01017,E-Learning,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,E-Learning,-1.79,N,36.86,N,-9.12,Y,-4.03,Y,33.18,Y,715.08,N,C,,2025-02-15
500032,Bajaj Hindusthan Sugar Limited,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Active,A ,1.0,INE306A01021,Sugar,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar,-15.55,Y,-26.77,N,-21.32,N,-25.09,N,-22.38,N,643.8,N,G,,2025-02-15
500039,Banco Products (India) Ltd.,BANCOINDIA,BANCO PRODUCTS (INDIA) LTD.-$,Active,B ,2.0,INE213C01025,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,-13.86,N,-32.23,Y,29.96,N,37.99,N,32.15,N,1384.73,N,G,,2025-02-15
500060,Birla Cable Limited,BIRLACABLE,Birla Cable Ltd,Active,B ,10.0,INE800A01015,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,-15.73,Y,-23.88,N,-16.54,N,-27.12,N,-35.04,N,414.24,N,G,,2025-02-15
500174,Gujarat Lease Financing Limited,GLFL,GUJARAT LEASE FINANCING LTD.,Active,T ,10.0,INE540A01017,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,-9.14,N,-37.41,Y,3.62,N,1.26,N,4.97,N,671.3,N,G,,2025-02-15
