Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,1W_value,1W_FLG,1M_value,1M_FLG,3M_value,3M_FLG,6M_value,6M_FLG,1Y_value,1Y_FLG,5Y_value,5Y_FLG,Report,Occurrence,Report Date
511034,Jindal Drilling & Industries Ltd.,JINDRILL,JINDAL DRILLING & INDUSTRIES LTD.,Active,B ,5.00,INE742C01031,Offshore Support Solution Drilling,Equity,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling,11.93,N,26.54,N,24.68,Y,23.0,Y,4.54,Y,1314.79,N,C,,2025-02-22
503811,Siyaram Silk Mills Ltd.,SIYSIL,SIYARAM SILK MILLS LTD.-$,Active,B ,2.00,INE076B01028,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,-0.11,N,-31.53,Y,80.53,N,91.68,N,89.86,N,841.31,N,G,,2025-02-22
503031,Peninsula Land Limited,PENINLAND,PENINSULA LAND LTD.,Active,T ,2.00,INE138A01028,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-7.09,N,-32.55,Y,-16.36,N,-42.82,N,-36.0,N,1229.0,N,G,,2025-02-22
504286,DELTA MANUFACTURING LIMITED ,DELTAMAGNT,Delta Manufacturing Ltd,Active,T ,10.00,INE393A01011,Other Industrial Products,Equity,Industrials,Capital Goods,Industrial Products,Other Industrial Products,-6.3,N,-31.15,Y,9.45,N,10.68,N,8.47,N,460.39,N,G,,2025-02-22
504807,Summit Securities Limited,SUMMITSEC,SUMMIT SECURITIES LTD.,Delisted,B ,10.00,INE852A01016, ,Equity,-,-,-,-,-0.43,N,-31.68,Y,-19.37,N,26.53,N,88.52,N,726.91,N,G,,2025-02-22
533306,SUMMIT SECURITIES LTD.,SUMMITSEC,SUMMIT SECURITIES LTD.,Active,B ,10.00,INE519C01017,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,-0.43,N,-31.68,Y,-19.37,N,26.53,N,88.52,N,726.91,N,G,,2025-02-22
505368,SEMAC CONSULTANTS LIMITED,SEMAC,Semac Consultants Ltd-$,Active,T ,10.00,INE617A01013,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,7.21,N,1.16,N,-18.93,N,-43.22,N,-88.98,Y,9.5,N,G,,2025-02-22
505029,Atlas Cycles (Haryana) Ltd.,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,Active,T ,5.00,INE446A01025,Cycles,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Cycles,-7.78,N,-34.63,Y,487.83,N,487.83,N,487.83,N,322.92,N,G,,2025-02-22
505196,TIL Ltd.,TIL,TIL LTD.,Active,B ,10.00,INE806C01018,Construction Vehicles,Equity,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles,0.62,N,-31.64,Y,-18.18,N,-8.22,N,-42.69,N,124.95,N,G,,2025-02-22
506642,Sadhana Nitrochem Ltd.,SADHNANIQ,SADHANA NITROCHEM LTD.,Active,T ,1.00,INE888C01040,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,3.43,N,-24.23,N,-23.83,N,-54.17,Y,-52.35,N,,N,G,,2025-02-22
506579,Oriental Carbon & Chemicals Ltd.,OCCL,ORIENTAL CARBON & CHEMICALS LTD.-$,Active,B ,10.00,INE321D01016,Commodity Chemicals,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals,-3.73,N,-14.33,N,-14.36,N,-36.6,N,-71.67,Y,-64.37,Y,G,,2025-02-22
511726,Vipul Limited,VIPULLTD,VIPUL LTD.,Active,T ,1.00,INE946H01037,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",-12.59,N,-28.81,N,-31.99,N,-56.67,Y,20.89,N,26.5,N,G,,2025-02-22
512237,Jai Corp Limited,JAICORPLTD,JAI CORP LTD.,Active,A ,1.00,INE070D01027,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,-1.12,N,-12.34,N,-58.78,Y,-63.02,Y,-59.82,N,112.55,N,G,,2025-02-22
512553,Zenith Exports Ltd.,ZENITHEXPO,ZENITH EXPORTS LTD.,Active,T ,10.00,INE058B01018,Leather And Leather Products,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Leather And Leather Products,-18.54,Y,-6.18,N,-20.35,N,-10.79,N,42.79,N,626.65,N,G,,2025-02-22
515018,Regency Ceramics Ltd,REGENCERAM,REGENCY CERAMICS LTD.,Active,T ,10.00,INE277C01012,Ceramics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Ceramics,-18.59,Y,-16.11,N,-40.0,N,16.05,N,52.86,N,5531.58,N,G,,2025-02-22
