Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,Report,1W_value,1M_value,3M_value,6M_value,1Y_value,5Y_value,1W_FLG,1M_FLG,3M_FLG,6M_FLG,1Y_FLG,5Y_FLG
500333,Pix Transmissions Ltd.,PIXTRANS,PIX TRANSMISSIONS LTD.,Active,B ,10.0,INE751B01018,Rubber,Equity,Industrials,Capital Goods,Industrial Products,Rubber,C,29.24,40.79,4.5,15.84,100.54,0.0,N,N,Y,Y,N,Y
514142,T T Ltd,TTL,T T LTD.-$,Active,B ,10.0,INE592B01016,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,C,-0.44,41.95,-2.85,5.29,49.68,0.0,N,N,Y,Y,N,Y
514274,Aarvee Denims & Exports Ltd.,AARVEEDEN,AARVEE DENIMS & EXPORTS LTD.,Active,T ,10.0,INE273D01019,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,C,8.21,35.24,57.57,79.81,120.6,0.0,N,N,N,N,N,Y
517411,Shyam Telecom Ltd.,SHYAMTEL,SHYAM TELECOM LTD.,Active,B ,10.0,INE635A01023,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,C,17.96,156.41,-11.14,14.04,42.08,0.0,N,N,Y,Y,Y,Y
522029,Windsor Machines Limited,WINDMACHIN,WINDSOR MACHINES LTD.,Active,B ,2.0,INE052A01021,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,C,18.91,36.98,21.36,148.07,369.18,0.0,N,N,Y,N,N,Y
524394,Vimta Labs Ltd.,VIMTALABS,VIMTA LABS LTD.-$,Active,B ,2.0,INE579C01029,Healthcare Research- Analytics & Technology,Equity,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology",C,8.64,36.57,3.65,20.45,46.87,0.0,N,N,Y,Y,N,Y
530943,Sri Adhikari Brothers Television Ne,SABTNL,SRI ADHIKARI BROTHERS TELEVISION NETWORK LTD.,Active,T ,10.0,INE416A01044,TV Broadcasting & Software Production,Equity,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production,C,8.23,48.54,240.52,1574.59,547.0,0.0,N,N,N,N,N,Y
531936,Blue Chip India Ltd,BLUECHIP,BLUE CHIP INDIA LTD.,Active,T ,2.0,INE657B01025,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,C,-0.32,35.45,28.98,119.68,2170.0,0.0,N,N,Y,N,N,Y
532642,JSW Holdings Limited,JSWHL,JSW Holdings Limited,Active,A ,10.0,INE824G01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,C,25.82,103.56,30.04,33.13,103.16,0.0,N,N,Y,Y,Y,Y
533090,Excel Realty N Infra Limited,EXCEL,Excel Realty N Infra Ltd,Active,B ,1.0,INE688J01023,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors,C,19.64,71.79,13.04,56.0,73.33,0.0,N,N,Y,Y,N,Y
533982,Tera Software Ltd.,TERASOFT,TERA SOFTWARE LTD.,Active,B ,10.0,INE482B01010,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,C,39.73,92.71,18.58,72.13,141.07,0.0,N,N,Y,Y,N,Y
537820,VIJI FINANCE LIMITED,VIJIFIN,Viji Finance Ltd,Active,B ,1.0,INE159N01027,Non Banking Financial Company (NBFC),Equity,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC),C,9.19,41.52,1.1,13.88,72.15,0.0,N,N,Y,Y,N,Y
539042,AGI Infra Limited,AGIIL,AGI Infra Ltd,Active,B ,10.0,INE976R01017,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",C,-0.01,45.01,8.71,0.0,0.0,0.0,N,N,Y,Y,Y,Y
540795,Dynamic Cables Limited,DYCL,Dynamic Cables Ltd,Active,B ,10.0,INE600Y01019,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,C,-6.07,39.15,-5.53,40.98,209.51,0.0,N,N,Y,N,N,Y
